city,ibge_id,date,qty_cases,qty_new_cases,cumm_qty_new_cases_14d,category
BELO HORIZONTE,3106200,2020-04-04,237,12,207,real
BELO HORIZONTE,3106200,2020-04-05,259,22,229,real
BELO HORIZONTE,3106200,2020-04-06,264,5,204,real
BELO HORIZONTE,3106200,2020-04-07,275,11,188,real
BELO HORIZONTE,3106200,2020-04-08,299,24,209,real
BELO HORIZONTE,3106200,2020-04-09,310,11,214,real
BELO HORIZONTE,3106200,2020-04-10,330,20,212,real
BELO HORIZONTE,3106200,2020-04-11,338,8,209,real
BELO HORIZONTE,3106200,2020-04-12,355,17,212,real
BELO HORIZONTE,3106200,2020-04-13,357,2,194,real
BELO HORIZONTE,3106200,2020-04-14,373,16,210,real
BELO HORIZONTE,3106200,2020-04-15,380,7,192,real
BELO HORIZONTE,3106200,2020-04-16,390,10,180,real
BELO HORIZONTE,3106200,2020-04-17,406,16,181,real
BELO HORIZONTE,3106200,2020-04-18,420,14,183,real
BELO HORIZONTE,3106200,2020-04-19,448,28,189,real
BELO HORIZONTE,3106200,2020-04-20,658,210,394,prediction
BELO HORIZONTE,3106200,2020-04-21,959,301,684,prediction
BELO HORIZONTE,3106200,2020-04-22,1369,410,1070,prediction
BELO HORIZONTE,3106200,2020-04-23,1884,515,1574,prediction
BELO HORIZONTE,3106200,2020-04-24,2549,665,2219,prediction
BELO HORIZONTE,3106200,2020-04-25,3056,507,2718,prediction
BELO HORIZONTE,3106200,2020-04-26,3598,542,3243,prediction
BELO HORIZONTE,3106200,2020-04-27,4177,579,3820,prediction
BELO HORIZONTE,3106200,2020-04-28,4864,687,4491,prediction
BELO HORIZONTE,3106200,2020-04-29,5289,425,4909,prediction
BELO HORIZONTE,3106200,2020-04-30,5619,330,5229,prediction
BELO HORIZONTE,3106200,2020-05-01,5857,238,5451,prediction
BELO HORIZONTE,3106200,2020-05-02,6042,185,5622,prediction
BELO HORIZONTE,3106200,2020-05-03,6042,0,5594,prediction
BELO HORIZONTE,3106200,2020-05-04,6042,0,5384,prediction
BELO HORIZONTE,3106200,2020-05-05,6042,0,5083,prediction
BELO HORIZONTE,3106200,2020-05-06,6042,0,4673,prediction
BELO HORIZONTE,3106200,2020-05-07,6042,0,4158,prediction
BELO HORIZONTE,3106200,2020-05-08,6042,0,3493,prediction
BELO HORIZONTE,3106200,2020-05-09,6042,0,2986,prediction
BELO HORIZONTE,3106200,2020-05-10,6042,0,2444,prediction
BELO HORIZONTE,3106200,2020-05-11,6042,0,1865,prediction
BELO HORIZONTE,3106200,2020-05-12,6042,0,1178,prediction
BELO HORIZONTE,3106200,2020-05-13,6042,0,753,prediction
BELO HORIZONTE,3106200,2020-05-14,6042,0,423,prediction
BELO HORIZONTE,3106200,2020-05-15,6042,0,185,prediction
BELO HORIZONTE,3106200,2020-05-16,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-17,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-18,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-19,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-20,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-21,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-22,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-23,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-24,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-25,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-26,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-27,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-28,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-29,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-30,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-05-31,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-06-01,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-06-02,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-06-03,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-06-04,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-06-05,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-06-06,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-06-07,6042,0,0,prediction
BELO HORIZONTE,3106200,2020-06-08,6042,0,0,prediction
BOA VISTA,1400100,2020-03-21,2,2,2,real
BOA VISTA,2502151,2020-03-21,2,2,2,real
BOA VISTA,1400100,2020-03-22,2,0,2,real
BOA VISTA,2502151,2020-03-22,2,0,2,real
BOA VISTA,1400100,2020-03-23,2,0,2,real
BOA VISTA,2502151,2020-03-23,2,0,2,real
BOA VISTA,1400100,2020-03-24,8,6,8,real
BOA VISTA,2502151,2020-03-24,8,6,8,real
BOA VISTA,1400100,2020-03-25,8,0,8,real
BOA VISTA,2502151,2020-03-25,8,0,8,real
BOA VISTA,1400100,2020-03-26,10,2,10,real
BOA VISTA,2502151,2020-03-26,10,2,10,real
BOA VISTA,1400100,2020-03-27,10,0,10,real
BOA VISTA,2502151,2020-03-27,10,0,10,real
